EPISODE,TITLE,RELEASE_DATE,Apple frame,Aurora borealis,Barn,Beach,Boat,Bridge,Building,Bushes,Cabin,Cactus,Circle frame,Cirrus clouds,Cliff,Clouds,Coniferous tree,Cumulis clouds,Decidious tree,Diane andre,Dock,Double oval frame,Farm,Fence,Fire,Florida frame,Flowers,Fog,Framed,Grass,Guest,Half circle frame,Half oval frame,Hills,Lake,Lakes,Lighthouse,Mill,Moon,At least one mountain,At least two mountains,Nighttime,Ocean,Oval frame,Palm trees,Path,Person,Portrait,Rectangle 3d frame,Rectangular frame,River or stream,Rocks,Seashell frame,Snow,Snow-covered mountain,Split frame,Steve ross,Man-made structure,Sun,Tomb frame,At least one tree,At least two trees,Triple frame,Waterfall,Waves,Windmill,Window frame,Winter setting,Wood framed,painting_index,season,episode,num_colors,youtube_src,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,alizarin crimson,bright red,burnt umber,cadmium yellow,dark sienna,indian yellow,indian red,liquid black,liquid clear,black gesso,midnight black,phthalo blue,phthalo green,prussian blue,sap green,titanium white,van dyke brown,yellow ochre,img_url,week_number,year
S01E11,"""WINTER GLOW""",3/15/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,292,1,11,8,https://www.youtube.com/embed/Q03YvknOVe0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0.363216783,0.454100924,0,0.453899199,0,0,0,0,0,0,0,0,0.336489776,0.45595082,0.24722742,0.454836234,0.271547346,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting292.png,11,1983
S01E12,"""SNOWFALL""",3/22/83,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,293,1,12,4,https://www.youtube.com/embed/4E35-8x_y04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.304312678,0,0,0,0,0,0,0,0,0,0,0,0,0.497663452,0,0.502842769,0.231665544,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting293.png,12,1983
S02E01,"""MEADOW LAKE""",8/31/83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,269,2,1,12,https://www.youtube.com/embed/GARWowi0QXI,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.273152013,0.315006672,0.362449351,0.299748384,0,0.227548066,0,0,0,0,0,0.351900868,0.282113628,0.36677838,0.220151292,0.483798443,0.239559613,0.271095353,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting269.png,35,1983
S02E02,"""WINTER SUN""",9/7/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,270,2,2,12,https://www.youtube.com/embed/VPfYRj4DDco,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.303296124,0.435051004,0.36813168,0.480037551,0,0.326506697,0,0,0,0,0,0.335274338,0.200587439,0.356765638,0.14755898,0.600602674,0.160091456,0.338331403,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting270.png,36,1983
S02E03,"""EBONY SEA""",9/14/83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,271,2,3,13,https://www.youtube.com/embed/aOJsKNzO3i8,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.588300942,0.489169906,0.603361635,0.348992952,0,0.400216313,0,0,0,0.549839864,0,0.290801539,0.616602807,0.324973956,0.634858447,0.118373137,0.644462225,0.525125958,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting271.png,37,1983
S02E04,"""SHADES OF GREY""",9/21/83,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,272,2,4,3,https://www.youtube.com/embed/I-ousb8-SD0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490222342,0,0.509110038,0.240207757,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting272.png,38,1983
S02E05,"""AUTUMN SPLENDOR""",9/28/83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,273,2,5,11,https://www.youtube.com/embed/rTTWw5Gd79I,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.438307453,0.468384428,0.515998035,0.40671428,0,0,0,0,0,0,0,0.379746432,0.388425147,0.407747157,0.340873606,0.339886217,0.356882014,0.429527283,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting273.png,39,1983
S02E06,"""BLACK RIVER""",10/5/83,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,274,2,6,11,https://www.youtube.com/embed/6O4sfJd8G_M,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.580092111,0.423048591,0.577133085,0.266897643,0,0,0,0,0,0,0,0.240844681,0.690332455,0.272807509,0.761953863,0.042398088,0.766662674,0.49230825,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting274.png,40,1983
S02E07,"""BROWN MOUNTAIN""",10/12/83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,275,2,7,11,https://www.youtube.com/embed/Vx6v47gHBWM,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.37283342,0.371053056,0.48101551,0.305201094,0,0,0,0,0,0,0,0.394876686,0.429544464,0.41791786,0.3531272,0.331848369,0.3804592,0.349024352,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting275.png,41,1983
S02E08,"""REFLECTIONS""",10/19/83,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,276,2,8,12,https://www.youtube.com/embed/0FYfo94qefg,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.353729294,0.420452528,0.406779082,0.406284566,0,0.326057617,0,0,0,0,0,0.333124822,0.276656082,0.353809039,0.23439873,0.474660477,0.246755446,0.365623175,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting276.png,42,1983
S02E09,"""BLACK & WHITE SEASCAPE""",10/26/83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,277,2,9,12,https://www.youtube.com/embed/PMDyPrE0puo,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.387877882,0.408234691,0,0.337187805,0,0.280811002,0,0,0,0.32586915,0,0.543280781,0.489630097,0.5797808,0.348420056,0.299789078,0.387429261,0.36555489,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting277.png,43,1983
S02E10,"""LAZY RIVER""",11/2/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,278,2,10,12,https://www.youtube.com/embed/BW2wKKFvH1g,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.440230215,0.450676821,0.560978283,0.370982192,0,0.33366666,0,0,0,0,0,0.431295369,0.446641813,0.462576313,0.371952318,0.303799649,0.397037413,0.419377682,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting278.png,44,1983
S02E11,"""BLACK WATERFALL""",11/9/83,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,279,2,11,12,https://www.youtube.com/embed/GzSqjyQUPZQ,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.47523999,0,0.59370512,0.243842025,0,0.28343023,0,0,0,0.653842976,0,0.353352985,0.686497268,0.387843754,0.622998604,0.07990063,0.663993235,0.405557041,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting279.png,45,1983
S02E12,"""MOUNTAIN WATERFALL""",11/16/83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,280,2,12,12,https://www.youtube.com/embed/9jIt95PCFAA,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.479432581,0.439027974,0.599965679,0.330766612,0,0.328282403,0,0,0,0,0,0.429144997,0.569144637,0.465214216,0.504321274,0.185220138,0.536062861,0.43470765,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting280.png,46,1983
S02E13,"""FINAL GRACE""",11/23/83,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,281,2,13,12,https://www.youtube.com/embed/miJ19Kz_i3Y,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.364126172,0.389208312,0.527146742,0.328836642,0,0.268764192,0,0,0,0,0,0.533389442,0.446283096,0.564563875,0.330885355,0.312260603,0.365699435,0.345706854,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting281.png,47,1983
S03E01,"""MOUNTAIN RETREAT""",1/4/84,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,256,3,1,12,https://www.youtube.com/embed/hoimk4s8JoQ,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.493675874,0.49273273,0.611578412,0.400881168,0,0.369548773,0,0,0,0,0,0.413395291,0.520300579,0.449772947,0.447918794,0.249854223,0.477262349,0.465479574,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting256.png,1,1984
S03E02,"""BLUE MOON""",1/11/84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,257,3,2,12,https://www.youtube.com/embed/loit61vLUMc,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.327856223,0.269744046,0.44364253,0.180489781,0,0.188454769,0,0,0,0,0,0.391593808,0.521130645,0.409031397,0.44749727,0.129464727,0.482693044,0.278776927,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting257.png,2,1984
S03E03,"""BUBBLING STREAM""",1/18/84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,258,3,3,12,https://www.youtube.com/embed/fuFalEXVN0k,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0.456958656,0.474022348,0.53343304,0.397369438,0,0.367188123,0,0,0,0,0,0.360356728,0.417752615,0.39017007,0.359104111,0.276603759,0.379328092,0.444490381,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting258.png,3,1984
S03E04,"""WINTER NIGHT""",1/25/84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,259,3,4,7,https://www.youtube.com/embed/8ysFkNYwhAE,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0.433872048,0.425054567,0,0.339796718,0,0,0,0.378901662,0,0,0,0,0.532787698,0,0,0.313083551,0.454224138,0,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting259.png,4,1984
S03E05,"""DISTANT HILLS""",2/1/84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,260,3,5,7,https://www.youtube.com/embed/8Zge88tVwjE,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.191909792,0,0.235741304,0.374855312,0,0,0,0,0,0,0,0,0,0,0.076954038,0.754336474,0.084238692,0.224602083,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting260.png,5,1984
S03E06,"""COVERED BRIDGE""",2/8/84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,261,3,6,10,https://www.youtube.com/embed/OHSm8kLE7js,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0.527398576,0.508190514,0.560042973,0.413086333,0,0,0,0,0,0,0.531060364,0,0,0.318708693,0.489892601,0.162651947,0.509501115,0.502251667,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting261.png,6,1984
S03E07,"""QUIET INLET""",2/15/84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,262,3,7,10,https://www.youtube.com/embed/9N5IWKzYIyU,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.350177287,0,0.412267846,0.349159078,0,0,0,0,0,0,0,0.32116732,0.302387128,0.341275899,0.258469623,0.457624632,0.272231234,0.347022685,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting262.png,7,1984
S03E08,"""NIGHT LIGHT""",2/22/84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,263,3,8,9,https://www.youtube.com/embed/l141Y0x8om0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.432979039,0,0.498436651,0.263350252,0,0,0,0,0,0.573068116,0,0,0.562033204,0,0.542595066,0.166761654,0.565854871,0.382987327,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting263.png,8,1984
S03E09,"""THE OLD MILL""",3/1/84,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,264,3,9,10,https://www.youtube.com/embed/OFKFUJ9eDNs,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0.388007797,0.437538172,0.438526701,0.41448825,0,0,0,0,0,0,0,0.296343006,0,0.32138801,0.294902869,0.402407465,0.308443599,0.390569447,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting264.png,9,1984
S03E10,"""CAMPFIRE""",3/8/84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,265,3,10,8,https://www.youtube.com/embed/L5bXkI0-pEg,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.645508902,0.478320938,0.538571446,0.326031374,0,0.454308256,0,0,0,0.618755484,0,0,0,0,0,0,0.718834743,0.570925077,https://raw.githubusercontent.com/jwilber/Bob_Ross_Paintings/master/data/paintings/painting265.png,10,1984
